accession	Plantheight	Earheight	Earleafwidth	Earleaflength	Tasselmainaxislength	Tasselbranchnumber	Leafnumberaboveear	Earlength	Eardiameter	Cobdiameter	Earrownumber	Kernernumberperrow	100grainweight	cobweight	kernellength	Kernelwidth	Kernelthickness	Silkingtime	Pollenshed	Headingdate	cobcolor
MODEM-WU109	140.6877516	51.69601889	8.031608829	64.23659093	32.80580599	6.443899478	4.490979869	12.01470117	3.707407369	2.38576604	14.14844571	20.52275935	20.094957	10.28890901	8.33820314	7.890555676	4.968481767	69.5634	66.0152	62.5735	1.0
MODEM-XI502	131.7869953	43.40544955	8.187300485	59.78662785	26.39583621	3.494816349	5.040429362	11.07268275	3.879238571	2.391062207	13.17488315	20.59557624	20.05426486	11.58998138	8.9077551	8.483186216	4.292548305	64.9593	63.4553	62.0157	0.0
MODEM-XUN971	155.2700304	53.69416412	9.789648383	66.46583761	26.11989801	7.047437958	5.546519261	13.28829495	4.042796496	2.661530173	14.1786328	18.99360454	25.62346007	17.93414234	10.31657128	8.414691229	5.419104075	67.8502	67.0169	64.8049	0.0
MODEM-XZ698	161.3719057	58.01262211	7.299821583	85.58504001	27.0260194	4.582524331	5.373080885	9.127888617	4.309612315	2.863980495	16.67284162	19.82885717	22.57474579	18.02705418	8.564876212	7.717829187	4.486050825	72.8826	73.4723	70.0486	1.0
MODEM-YAN414	156.708692	56.44407038	9.857248461	64.74840777	28.13350109	3.540137515	4.843191083	12.42419695	3.742058774	2.496294984	13.61262475	22.72011626	19.77468907	13.1313148	8.560572293	7.778879067	4.55894561	68.2785	66.4604	63.0198	0.0
MODEM-YE107	144.7036968	47.99282503	8.920528089	65.65952972	27.59346481	2.617093578	5.68261394	11.25759073	4.006049305	2.412946083	12.59621959	17.38468827	27.82138132	16.70032329	8.794270938	8.756044667	5.014189294	76.2392	72.3343	69.136	1.0
MODEM-YE478	142.4223444	49.73386632	8.478994455	65.22610349	23.29712482	11.46353237	5.016219116	12.12348731	3.796042016	2.157823352	12.70323848	20.78190183	23.83609229	16.61908242	8.772345434	9.066480173	5.409942704	70.9553	69.3542	67.4825	0.0
MODEM-YE515	152.3095007	56.57821484	7.805181385	62.03009167	27.712136	5.044381874	5.413294515	10.81451593	4.036778094	2.507145008	13.77865378	18.80085393	22.19652462	18.96606084	8.507490625	8.757166164	5.372716484	71.7048	68.3525	66.0321	0.0
MODEM-YE52106	168.3503841	74.09096747	10.14602549	59.27765444	32.34342306	6.204045923	4.779451112	13.2078109	3.890877441	2.393209066	13.96732313	24.28353784	20.06140512	18.27005439	8.936447894	7.793769281	4.667625108	71.2765	68.6864	66.2553	1.0
MODEM-YE8001	136.2636317	43.136719	7.428896164	69.68459685	26.95144151	8.199292822	4.889423079	11.33279784	3.560777213	2.112793042	12.3787272	19.38553077	22.55278456	10.74528516	8.879062306	8.228563547	4.765701728	68.9209	68.2412	65.6974	0.0
MODEM-YU374	164.196491	53.18850023	7.953945309	63.39493657	28.40943929	9.288674201	5.510956187	14.59019081	3.320953015	2.079857649	12.28439252	23.06756779	26.29886591	12.9407264	9.318062053	7.963517727	4.735218454	72.6684	70.4672	68.0403	1.0
MODEM-YU87-1	144.6120793	45.73823829	8.778710008	70.75372536	24.28528188	8.472614314	5.224673442	10.45985544	4.042249368	2.607196079	13.49564975	17.42657263	30.55788623	21.20511566	10.10612549	9.149083011	5.056695324	68.7068	66.1265	64.5817	1.0
MODEM-YUN46	205.9823823	98.67759557	8.419795025	78.55325503	29.37064731	10.14270172	6.167434092	13.50761796	4.190923176	2.977811852	12.34796752	21.4829658	27.10645942	28.59012304	9.009730769	9.21999295	4.785706283	76.1418	75.3279	71.1764	0.0
MODEM-Z2018F	178.3946465	66.60051741	9.826620594	66.15874751	31.86612456	4.972425808	5.577021436	12.02708334	4.115199695	2.613708727	15.3710231	19.95735757	24.63666119	21.55770419	9.6595063	8.097529658	4.801486441	71.1694	71.3576	68.375	0.0
MODEM-ZAC546	153.4117914	45.71648812	8.478994455	64.73703406	32.08240044	8.731990833	5.230418246	12.12614063	3.609653932	2.126376565	11.77121189	25.58139192	23.46234547	11.7304901	8.824545997	9.290235845	4.497979063	66.6724	65.2361	63.3545	1.0
